Player ID,Year,Name,College,5 star recruit,POS,Height (in),Weight (lbs),BMI,Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Weight adjusted Bench,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle,Speed Score,Vertical Jump Power,Broad Jump Power,Drafted,Rnd,Pick,G,Cmp,Pass_Att,Pct,Pass_Yds,Y/A,AY/A,Pass_TD,Pass_Int,Rate,Rush_Att,Rush_Yds,Rush_Avg,Rush_TDs,Rec,Rec_Yds,Rec_Avg,Rec_Tds,Pro Bowl,Players AV,Games Played,AV Per Game
2015Ameer Abdullah,2015,Ameer Abdullah,Nebraska,0,RB,68.75,205,30.49,8.63,30,,4.6,24,26.34146341,42.5,130,3.95,6.79,11.18,91.56985574,5345.745972,9349.438486,1,2,54,40,0,0,0,0,0,0,0,0,0,40,771,4438,5.7,36,72,679,9.5,0,14,74,0.189189189
2015Nelson Agholor,2015,Nelson Agholor,Southern California,1,WR,72.13,198,26.75,9.25,32.25,,4.42,12,13.63636364,,,,,,103.7543009,0,0,1,1,20,27,0,0,0,0,0,0,0,0,0,6,11,2.4,0,160,2231,14.5,18,0,29,87,0.333333333
2015Malcolm Agnew,2015,Malcolm Agnew,Southern Illinois,0,RB,70,202,28.98,,,,4.59,,0,,,,,,91.01869888,0,0,0,#N/A,0,6,0,0,0,0,0,0,0,0,0,6,89,423,4.8,5,3,8,2.7,0,0,0,0
2015Jay Ajayi,2015,Jay Ajayi,Boise State,0,RB,71.75,221,30.18,10,32,24,4.57,19,19.3438914,39,121,4.1,7.1,11.1,101.3345327,5520.578231,9724,1,5,149,38,0,0,0,0,0,0,0,0,0,38,678,3796,5.9,50,73,771,11.6,1,20,45,0.444444444
2015Mario Alford,2015,Mario Alford,West Virginia,0,WR,68.5,180,26.97,9.38,31.25,,4.43,13,16.25,34,121,4.07,6.64,11.22,93.47330441,4198.285364,7920,1,7,238,22,0,0,0,0,0,0,0,0,0,7,61,8.2,0,92,1497,17.45,13,0,0,4,0
2015Javorius Allen,2015,Javorius Allen,Southern California,0,RB,72.5,221,29.56,9.38,31.75,12,4.53,11,11.19909502,35.5,121,4.28,6.96,,104.9613629,5267.037877,9724,1,4,125,26,0,0,0,0,0,0,0,0,0,26,411,2274,5.6,25,63,710,11.35,0,14,64,0.21875
2015Dres Anderson,2015,Dres Anderson,Utah,0,WR,73.13,187,24.58,9.38,31.63,,4.53,13,15.64171123,,,,,,88.81346092,0,0,0,#N/A,0,24,0,0,0,0,0,0,0,0,0,22,113,4.85,1,89,1367,14.5,10,0,0,0,0
2015Rory Anderson,2015,Rory Anderson,South Carolina,0,TE,76.63,244,29.21,,,,4.73,,0,,,,,,97.4934096,0,0,0,#N/A,0,#N/A,0,0,0,0,0,0,0,0,0,#N/A,0,0,0,#N/A,0,0,0,0,0,0,0
2015Cameron Artis-Payne,2015,Cameron Artis-Payne,Auburn,0,RB,69.75,212,30.63,8.88,29.63,,4.53,,0,36.5,118,,7.13,,100.6869183,5123.211493,9211.637857,1,5,174,26,0,0,0,0,0,0,0,0,0,26,394,2218,6,19,14,151,7.65,0,5,32,0.15625
2015Kennard Backman,2015,Kennard Backman,Alabama-Birmingham,0,TE,75,239,29.87,,,,4.76,,0,,,,,,93.11080593,0,0,1,6,213,35,0,0,0,0,0,0,0,0,0,0,0,0,0,90,936,10.4,9,0,0,7,0
2015DeJuan Beard,2015,DeJuan Beard,Washburn (KS),0,WR,73,195,25.72,,,,4.56,,0,,,,,,90.19972976,0,0,0,#N/A,0,#N/A,0,0,0,0,0,0,0,0,0,#N/A,0,0,0,#N/A,0,0,0,0,0,0,0
2015Blake Bell,2015,Blake Bell,Oklahoma,0,TE,78.25,252,28.93,10,33.13,,4.8,14,12.5,33,116,4.32,6.85,11.81,94.94357639,5790.519148,10856.49225,1,4,117,11,140,233,60.1,1648,7.1,7.1,12,5,132.2,75,255,3.4,0,#N/A,0,0,0,0,4,81,0.049382716
2015Kenny Bell,2015,Kenny Bell,Nebraska,0,WR,73.13,197,25.9,9.25,31.63,,4.42,7,7.994923858,41.5,129,4.15,6.66,11.6,103.2302893,5076.334898,8949.959553,1,5,162,53,0,0,0,0,0,0,0,0,0,6,109,12.76666667,1,181,2689,14.9,21,0,0,0,0
2015Bill Belton,2015,Bill Belton,Penn State,0,RB,69,204,30.12,,,,4.55,,0,,,,,,95.19509606,0,0,0,#N/A,0,24,0,0,0,0,0,0,0,0,0,24,282,1329,4.65,11,41,359,9.1,0,0,0,0
2015Bryan Bennett,2015,Bryan Bennett,Southeastern Louisiana,0,QB,74.25,211,26.91,9.5,31,,4.81,,0,37,125,4.2,7.13,,78.8373732,5133.851576,9436.206865,0,#N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015Michael Bennett,2015,Michael Bennett,Georgia,0,WR,74,202,25.93,10.25,33.63,,4.59,,0,,,,,,91.01869888,0,0,1,6,180,36,0,0,0,0,0,0,0,0,0,0,0,0,0,110,1262,11.33333333,13,1,1,16,0.0625
